"NAME"|"EVENT"|"VAL_ORG"|"VAL_FINAL"|"TYPE"|"ADJ"|"ADJ_TYPE"|"QUALIFIER"|"MAP_USE"
"199-D5-133"|2/11/2022 13:42:00|118.861|118.861|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-D5-133"|11/18/2022 14:53:00|119.044|119.044|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-D5-133"|2/10/2023 14:16:00|118.946|118.946|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-D5-133"|6/9/2023 8:39:00|118.016|118.016|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-D5-14"|2/11/2022 13:42:00|118.082|118.082|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-D5-14"|11/18/2022 14:53:00|118.053|118.053|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-D5-14"|2/10/2023 14:17:00|118.019|118.019|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-D5-14"|6/9/2023 11:04:00|117.717|117.717|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-D5-160"|2/11/2022 13:50:00|118.513|118.513|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-D5-160"|2/10/2023 14:41:00|118.669|118.669|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-D5-160"|6/9/2023 7:56:00|118.102|118.102|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-D5-17"|2/11/2022 13:48:00|118.912|118.912|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-D5-17"|11/18/2022 14:54:00|119.034|119.034|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-D5-17"|2/10/2023 14:25:00|118.954|118.954|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-D5-17"|6/9/2023 8:23:00|118.183|118.183|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-D5-19"|2/11/2022 13:56:00|118.828|118.828|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-D5-19"|11/18/2022 15:02:00|118.922|118.922|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-D5-19"|2/10/2023 14:35:00|118.837|118.837|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-D5-19"|6/9/2023 8:25:00|118.273|118.273|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-D5-33"|2/11/2022 13:13:00|118.221|118.221|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-D5-33"|11/18/2022 10:29:00|117.828|117.828|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-D5-33"|2/10/2023 13:54:00|117.840|117.840|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-D5-33"|6/9/2023 7:27:00|117.950|117.950|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-D5-36"|2/11/2022 14:41:00|117.934|117.934|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-D5-36"|11/18/2022 10:27:00|117.575|117.575|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-D5-36"|2/10/2023 10:35:00|117.538|117.538|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-D5-36"|6/9/2023 7:23:00|117.825|117.825|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-D5-37"|11/18/2022 14:24:00|117.516|117.516|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-D5-37"|2/10/2023 13:51:00|117.522|117.522|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-D5-37"|6/9/2023 8:57:00|117.891|117.891|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-D5-38"|2/11/2022 14:33:00|118.060|118.060|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-D5-38"|11/18/2022 13:08:00|117.600|117.600|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-D5-38"|2/10/2023 14:39:00|117.649|117.649|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-D5-38"|6/9/2023 6:39:00|117.774|117.774|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-D5-41"|2/11/2022 13:21:00|117.873|117.873|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-D5-41"|11/18/2022 14:35:00|117.522|117.522|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-D5-41"|2/10/2023 13:59:00|117.595|117.595|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-D5-41"|6/9/2023 7:36:00|117.726|117.726|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-D5-43"|2/11/2022 14:34:00|118.654|118.654|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-D5-43"|9/27/2022 8:28:00|118.807|118.807|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-D5-43"|11/18/2022 10:54:00|118.484|118.484|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-D5-43"|2/10/2023 15:04:00|118.429|118.429|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-D5-43"|6/9/2023 8:17:00|118.212|118.212|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-D5-97"|2/11/2022 14:26:00|118.510|118.510|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-D5-97"|8/25/2022 8:14:00|118.821|118.821|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-D5-97"|11/18/2022 10:39:00|118.334|118.334|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-D5-97"|2/10/2023 14:49:00|118.324|118.324|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-D5-97"|6/9/2023 8:00:00|118.123|118.123|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-D6-3"|2/11/2022 13:25:00|118.423|118.423|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-D6-3"|2/10/2023 14:08:00|118.334|118.334|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-D6-3"|6/9/2023 9:33:00|118.261|118.261|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-D8-101"|2/11/2022 10:18:00|117.775|117.775|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-D8-101"|11/18/2022 14:21:00|117.366|117.366|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-D8-101"|2/10/2023 13:35:00|117.260|117.260|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-D8-101"|6/9/2023 9:47:00|117.909|117.909|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-D8-5"|11/18/2022 14:38:00|116.880|116.880|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-D8-5"|2/10/2023 13:57:00|116.932|116.932|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-D8-5"|6/9/2023 9:19:00|117.148|117.148|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-D8-54A"|2/11/2022 10:18:00|117.712|117.712|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-D8-54A"|11/18/2022 14:30:00|117.374|117.374|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-D8-54A"|2/10/2023 13:39:00|117.197|117.197|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-D8-54A"|6/9/2023 9:13:00|117.767|117.767|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-D8-54B"|2/11/2022 10:16:00|117.936|117.936|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-D8-54B"|11/18/2022 14:29:00|117.592|117.592|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-D8-54B"|2/10/2023 13:38:00|117.443|117.443|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-D8-54B"|6/9/2023 9:14:00|117.815|117.815|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-D8-70"|2/11/2022 10:08:00|117.739|117.739|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-D8-70"|11/18/2022 14:12:00|117.373|117.373|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-D8-70"|2/10/2023 13:28:00|117.200|117.200|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-D8-70"|6/9/2023 9:30:00|117.773|117.773|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-D8-71"|2/11/2022 10:07:00|117.709|117.709|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-D8-71"|11/18/2022 14:13:00|117.373|117.373|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-D8-71"|2/10/2023 13:27:00|117.190|117.190|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-D8-71"|4/10/2023 13:05:00|116.642|116.642|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-D8-71"|6/9/2023 9:20:00|117.770|117.770|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-D8-93"|2/11/2022 9:55:00|117.712|117.712|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-D8-93"|8/25/2022 8:50:00|117.867|117.867|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-D8-93"|11/18/2022 14:03:00|117.569|117.569|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-D8-93"|2/10/2023 13:17:00|117.233|117.233|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-D8-93"|6/9/2023 10:06:00|117.666|117.666|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-H1-50"|10/15/2021 9:04:00|115.384|115.384|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-H1-50"|2/18/2022 15:24:00|116.000|116.000|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-H1-50"|6/23/2023 8:09:00|115.987|115.987|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-H1-7"|2/18/2022 15:27:00|115.467|115.467|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-H1-7"|6/23/2023 8:44:00|115.409|115.409|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-H2-1"|10/15/2021 8:28:00|114.452|114.452|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-H2-1"|2/18/2022 9:06:00|115.872|115.872|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-H2-1"|1/13/2023 14:44:00|114.860|114.860|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-H2-1"|3/10/2023 10:13:00|114.744|114.744|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-H2-1"|6/23/2023 8:37:00|115.113|115.113|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-H3-10"|10/15/2021 9:19:00|114.544|114.544|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-H3-10"|9/8/2022 13:07:00|115.330|115.330|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-H3-10"|1/13/2023 14:21:00|114.842|114.842|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-H3-10"|3/17/2023 12:14:00|114.675|114.675|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-H3-10"|6/23/2023 9:46:00|114.766|114.766|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-H3-12"|10/15/2021 8:01:00|113.040|113.040|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-H3-12"|2/18/2022 8:03:00|113.680|113.680|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-H3-12"|1/13/2023 13:41:00|114.012|114.012|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-H3-12"|3/10/2023 9:51:00|114.000|114.000|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-H3-12"|6/23/2023 8:57:00|114.149|114.149|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-H3-13"|10/15/2021 7:54:00|112.786|112.786|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-H3-13"|2/18/2022 8:00:00|113.703|113.703|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-H3-13"|1/13/2023 14:04:00|113.779|113.779|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-H3-13"|3/10/2023 9:52:00|113.761|113.761|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-H3-13"|6/23/2023 9:07:00|113.953|113.953|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-H3-2A"|10/26/2022 11:58:00|115.471|115.471|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-H3-2A"|1/13/2023 14:14:00|115.301|115.301|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-H3-2A"|3/17/2023 12:13:00|115.182|115.182|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-H3-2A"|6/23/2023 9:42:00|115.407|115.407|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-H3-2B"|10/15/2021 9:18:00|114.951|114.951|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-H3-2B"|2/18/2022 15:03:00|115.134|115.134|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-H3-2B"|1/13/2023 14:13:00|115.304|115.304|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-H3-2B"|3/17/2023 12:12:00|115.185|115.185|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-H3-2B"|6/23/2023 9:44:00|115.414|115.414|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-H3-30"|10/15/2021 7:23:00|114.136|114.136|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-H3-30"|2/18/2022 14:46:00|115.349|115.349|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-H3-30"|1/13/2023 13:19:00|114.657|114.657|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-H3-30"|3/10/2023 9:40:00|114.505|114.505|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-H3-30"|6/23/2023 9:08:00|114.892|114.892|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-H3-32"|10/15/2021 8:06:00|114.465|114.465|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-H3-32"|2/18/2022 15:09:00|115.327|115.327|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-H3-32"|1/13/2023 14:23:00|114.870|114.870|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-H3-32"|3/10/2023 12:16:00|114.730|114.730|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-H3-32"|6/23/2023 8:23:00|115.047|115.047|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-H4-10"|10/15/2021 8:22:00|114.397|114.397|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-H4-10"|2/18/2022 8:59:00|115.808|115.808|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-H4-10"|1/13/2023 14:42:00|114.812|114.812|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-H4-10"|3/10/2023 10:07:00|114.696|114.696|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-H4-10"|6/23/2023 8:34:00|115.031|115.031|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-H4-11"|10/15/2021 7:40:00|114.129|114.129|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-H4-11"|2/18/2022 14:49:00|115.714|115.714|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-H4-11"|1/13/2023 13:21:00|114.705|114.705|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-H4-11"|3/10/2023 9:42:00|114.497|114.497|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-H4-12B"|10/15/2021 7:48:00|114.198|114.198|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-H4-12B"|2/18/2022 8:51:00|115.738|115.738|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-H4-12B"|1/13/2023 13:29:00|114.604|114.604|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-H4-13"|10/15/2021 7:35:00|114.129|114.129|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-H4-13"|2/18/2022 14:30:00|115.720|115.720|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-H4-13"|1/13/2023 13:13:00|114.705|114.705|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-H4-13"|3/10/2023 9:35:00|114.470|114.470|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-H4-13"|6/23/2023 9:16:00|114.946|114.946|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-H4-15B"|10/15/2021 8:20:00|114.367|114.367|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-H4-15B"|2/18/2022 8:58:00|115.702|115.702|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-H4-15B"|1/13/2023 14:49:00|114.751|114.751|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-H4-15B"|3/10/2023 10:09:00|114.644|114.644|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-H4-15B"|6/23/2023 8:42:00|114.973|114.973|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-H4-47"|10/15/2021 9:33:00|114.827|114.827|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-H4-47"|2/18/2022 7:47:00|115.065|115.065|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-H4-47"|1/13/2023 14:01:00|115.230|115.230|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-H4-47"|3/17/2023 12:23:00|115.111|115.111|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-H4-5"|10/15/2021 7:48:00|114.168|114.168|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-H4-5"|1/13/2023 13:29:00|114.640|114.640|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-H4-5"|3/10/2023 10:06:00|114.524|114.524|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-H4-8"|2/18/2022 14:53:00|115.029|115.029|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-H4-8"|1/13/2023 13:30:00|114.642|114.642|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-H4-8"|3/10/2023 9:54:00|114.548|114.548|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-H4-8"|6/23/2023 8:47:00|115.057|115.057|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-H4-83"|10/15/2021 7:28:00|114.133|114.133|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-H4-83"|9/8/2022 13:41:00|115.157|115.157|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-H4-83"|1/13/2023 13:20:00|114.785|114.785|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-H4-83"|3/10/2023 9:41:00|114.654|114.654|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-H4-83"|6/23/2023 9:10:00|115.008|115.008|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-H4-84"|2/18/2022 8:14:00|114.909|114.909|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-H4-84"|1/13/2023 14:01:00|114.809|114.809|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-H4-84"|3/10/2023 10:01:00|114.696|114.696|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-H4-84"|6/23/2023 9:06:00|115.135|115.135|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-H4-88"|10/26/2022 12:29:00|114.994|114.994|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-H4-88"|1/13/2023 13:41:00|114.949|114.949|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-H4-88"|3/10/2023 9:54:00|114.876|114.876|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-H4-90"|10/15/2021 9:30:00|114.589|114.589|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-H4-90"|2/18/2022 7:51:00|114.976|114.976|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-H4-90"|1/13/2023 14:00:00|115.037|115.037|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-H4-90"|3/17/2023 12:22:00|114.909|114.909|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-H4-90"|6/23/2023 9:31:00|115.208|115.208|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
"199-H4-91"|10/15/2021 7:21:00|114.461|114.461|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-H4-91"|2/18/2022 14:37:00|115.302|115.302|"MAN"|0.000|"No Adjustment"|"Final, Approved"|
"199-H4-91"|1/13/2023 13:14:00|114.912|114.912|"MAN"|0.000|"No Adjustment"|"Provisional, Approved for Use"|
